марка,модель,поколение,мощность,год,пробег,состояние,двери,кузов,топливо,трансмиссия,цвет,привод,руль,комплектация,цена
BMW,X6,E71,286,2009.0,180000.0,не битый,5.0,внедорожник,дизель,автомат,чёрный,полный,левый,Base,1150000
BMW,X3,F25,184,2013.0,120000.0,не битый,5.0,внедорожник,дизель,автомат,чёрный,полный,левый,SE,1390000
BMW,1 серия,E81/E82/E87/E88,136,2008.0,212000.0,не битый,5.0,хетчбэк,бензин,автомат,серый,задний,левый,Base,410000
BMW,5 серия,F10/F11,306,2012.0,120000.0,не битый,4.0,седан,бензин,автомат,чёрный,полный,левый,Base,1200000
BMW,5 серия GT,F07,258,2014.0,145000.0,не битый,5.0,хетчбэк,дизель,автомат,белый,полный,левый,Base,1990000
BMW,1 серия,E81/E82/E87/E88,115,2011.0,130000.0,не битый,3.0,хетчбэк,бензин,автомат,чёрный,задний,левый,Base,490000
BMW,3 серия,E36,150,1992.0,250000.0,не битый,4.0,седан,бензин,механика,чёрный,задний,левый,Base,85000
BMW,3 серия,E46,118,1998.0,307594.0,не битый,4.0,седан,бензин,механика,синий,задний,левый,Base,180000
BMW,X3,F25,245,2013.0,117000.0,не битый,5.0,внедорожник,бензин,автомат,чёрный,полный,левый,Base,1325000
BMW,X1,E84,184,2012.0,140000.0,не битый,5.0,внедорожник,бензин,автомат,чёрный,полный,левый,Business,1100000
BMW,3 серия,F30/F31,136,2014.0,109000.0,не битый,4.0,седан,бензин,автомат,белый,задний,левый,Base,899000
BMW,X6,E71,286,2009.0,229000.0,не битый,5.0,внедорожник,дизель,автомат,серебряный,полный,левый,Base,1400000
BMW,X1,E84,184,2011.0,80000.0,не битый,5.0,внедорожник,бензин,автомат,коричневый,полный,левый,Lifestyle,880000
BMW,3 серия GT,F34,184,2015.0,76281.0,не битый,5.0,хетчбэк,бензин,автомат,белый,полный,левый,Base,1750000
BMW,5 серия GT,F07,245,2011.0,170000.0,не битый,5.0,хетчбэк,дизель,автомат,белый,полный,левый,Base,1350000
BMW,6 серия,E63/E64,333,2003.0,57000.0,не битый,2.0,купе,бензин,автомат,чёрный,задний,левый,Base,1538000
BMW,3 серия,E90/E91/E92/E93,218,2011.0,198500.0,не битый,2.0,купе,бензин,автомат,белый,полный,левый,Base,740000
BMW,3 серия,E46,118,2001.0,480000.0,не битый,4.0,седан,бензин,автомат,чёрный,задний,левый,Base,240000
BMW,X5,E53,231,2002.0,270000.0,не битый,5.0,внедорожник,бензин,автомат,синий,полный,левый,Base,450000
BMW,5 серия,F10/F11,245,2012.0,118000.0,не битый,4.0,седан,бензин,автомат,чёрный,полный,левый,Luxe,1430000
BMW,5 серия,E34,150,1990.0,350000.0,не битый,4.0,седан,бензин,механика,зелёный,задний,левый,Base,155000
BMW,3 серия,E90/E91/E92/E93,177,2008.0,180000.0,не битый,5.0,универсал,дизель,автомат,чёрный,задний,левый,Base,500000
BMW,3 серия,E90/E91/E92/E93,258,2006.0,250000.0,не битый,4.0,седан,бензин,автомат,серебряный,задний,левый,Base,505505
BMW,5 серия,E34,192,1994.0,427000.0,не битый,4.0,седан,бензин,автомат,красный,задний,левый,Base,135000
BMW,X6,E71,306,2009.0,200000.0,не битый,5.0,внедорожник,бензин,автомат,красный,полный,левый,Base,1087000
BMW,X5,E53,231,2001.0,242114.0,не битый,5.0,внедорожник,бензин,автомат,красный,полный,левый,Base,555000
BMW,X4,F26,245,2016.0,82000.0,не битый,5.0,внедорожник,бензин,автомат,коричневый,полный,левый,Base,2200000
BMW,5 серия,F10/F11,245,2012.0,152000.0,не битый,4.0,седан,бензин,автомат,синий,полный,левый,Luxe,1235000
BMW,3 серия,E90/E91/E92/E93,306,2008.0,180000.0,не битый,2.0,купе,бензин,автомат,бежевый,задний,левый,Base,700000
BMW,X3,E83,177,2009.0,217000.0,не битый,5.0,внедорожник,дизель,автомат,чёрный,полный,левый,Base,639000
BMW,3 серия,E90/E91/E92/E93,156,2008.0,142000.0,не битый,4.0,седан,бензин,автомат,чёрный,задний,левый,Base,480000
BMW,1 серия,E81/E82/E87/E88,115,2011.0,67000.0,не битый,5.0,хетчбэк,бензин,автомат,чёрный,задний,левый,Base,649000
BMW,X3,E83,177,2009.0,181760.0,не битый,5.0,внедорожник,дизель,автомат,чёрный,полный,левый,Base,799990
BMW,X5,E70,286,2010.0,199000.0,не битый,5.0,внедорожник,дизель,автомат,белый,полный,левый,Base,1300000
BMW,X1,F48,150,2016.0,65500.0,не битый,5.0,внедорожник,дизель,автомат,белый,полный,левый,Advantage,1620000
BMW,3 серия,F30/F31,136,2013.0,110000.0,битый,4.0,седан,бензин,автомат,чёрный,задний,левый,Base,100000
Chery,IndiS (S18D),S18D,83,2014.0,62000.0,не битый,5.0,хетчбэк,бензин,механика,серебряный,передний,левый,In14B,233000
Chery,Very,A13,109,2014.0,34000.0,не битый,5.0,хетчбэк,бензин,механика,серебряный,передний,левый,Base,230000
Chery,Bonus (A13),A13,109,2012.0,71000.0,не битый,5.0,хетчбэк,бензин,механика,пурпурный,передний,левый,Comfort,130000
Chery,Amulet (A15),A15,88,2007.0,108000.0,не битый,5.0,хетчбэк,бензин,механика,бежевый,передний,левый,Base,60000
Chery,Kimo (A1),A1,83,2008.0,52000.0,битый,5.0,хетчбэк,бензин,механика,красный,передний,левый,Comfort,50000
Chery,Tiggo 5,T21,139,2014.0,60000.0,не битый,5.0,внедорожник,бензин,вариатор,белый,передний,левый,Comfort,630000
